name,author,instruments,domain,file_urls,files
"Ermuntre dich, mein schwacher Geist",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV454/bwv_454/bwv_454.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV454/bwv_454/bwv_454.mid', 'path': 'ERMUNTRE_DICH_MEIN_SCHWACHER_GEIST.mid', 'checksum': 'be829547236619bbff671bdbfdc7ab40', 'status': 'downloaded'}]"
"Ich dank dir, lieber Herre",J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV347/bwv347/bwv347.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV347/bwv347/bwv347.mid', 'path': 'ICH_DANK_DIR_LIEBER_HERRE.mid', 'checksum': '323827bde6ccc0ddca8b3739693e94d9', 'status': 'downloaded'}]"
Rumores de la Caleta,I. M. F. Albéniz (1860–1909),Piano,Public Domain,https://www.mutopiaproject.org/ftp/AlbenizIMF/O71/Rumores_de_la-caleta/Rumores_de_la-caleta.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AlbenizIMF/O71/Rumores_de_la-caleta/Rumores_de_la-caleta.mid', 'path': 'RUMORES_DE_LA_CALETA.mid', 'checksum': '5172ce1a911e866807370918c8693999', 'status': 'downloaded'}]"
Minuit Chrétiens,A. Adam (1803–1856),Voice and Piano,Public Domain,https://www.mutopiaproject.org/ftp/AdamA/minuit_chretiens/minuit_chretiens.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AdamA/minuit_chretiens/minuit_chretiens.mid', 'path': 'MINUIT_CHRTIENS.mid', 'checksum': 'b10215f7bbb6e39ebaf8617d5948da6e', 'status': 'downloaded'}]"
"Gott, wie gross ist deine Güte",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV462/bwv_462/bwv_462.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV462/bwv_462/bwv_462.mid', 'path': 'GOTT_WIE_GROSS_IST_DEINE_GTE.mid', 'checksum': '7067993231096133889b85b35abfa577', 'status': 'downloaded'}]"
"Chorale setting ""Gib dich zufrieden und sei stille"" in F major",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV510/BWV-510/BWV-510.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV510/BWV-510/BWV-510.mid', 'path': 'CHORALE_SETTING_GIB_DICH_ZUFRIEDEN_UND_SEI_STILLE_IN_F_MAJOR.mid', 'checksum': '43c3b3b52adb88d119125ef5f6bb20c1', 'status': 'downloaded'}]"
"Chorale setting ""Gib dich zufrieden und sei stille"" in D minor",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV511/BWV-511/BWV-511.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV511/BWV-511/BWV-511.mid', 'path': 'CHORALE_SETTING_GIB_DICH_ZUFRIEDEN_UND_SEI_STILLE_IN_D_MINOR.mid', 'checksum': '88815bb7465d857778e04b34d668e96d', 'status': 'downloaded'}]"
Aria,J. S. Bach (1685–1750),"Harpsichord, Piano, Clavichord",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV515/anna-magdalena-20a/anna-magdalena-20a.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV515/anna-magdalena-20a/anna-magdalena-20a.mid', 'path': 'ARIA.mid', 'checksum': '2a3907cd04ba379989d9ba98b52fa473', 'status': 'downloaded'}]"
"Chorale setting ""Gib dich zufrieden und sei stille"" in E minor",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV512/BWV-512/BWV-512.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV512/BWV-512/BWV-512.mid', 'path': 'CHORALE_SETTING_GIB_DICH_ZUFRIEDEN_UND_SEI_STILLE_IN_E_MINOR.mid', 'checksum': '2f4a0ea9a78da8c982d116c67084ee3c', 'status': 'downloaded'}]"
Invention 3,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV774/bach-invention-03/bach-invention-03.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV774/bach-invention-03/bach-invention-03.mid', 'path': 'INVENTION_3.mid', 'checksum': 'bebb50fcbf63e13c5198821239df048e', 'status': 'downloaded'}]"
Invention 4,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV775/bach-invention-04/bach-invention-04.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV775/bach-invention-04/bach-invention-04.mid', 'path': 'INVENTION_4.mid', 'checksum': '79ecf03c119376acb2fc5bde673b57aa', 'status': 'downloaded'}]"
Invention 1,J. S. Bach (1685–1750),"Harpsichord, Piano",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/BachJS/BWV772/bach-invention-01/bach-invention-01.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV772/bach-invention-01/bach-invention-01.mid', 'path': 'INVENTION_1.mid', 'checksum': 'a39cca053378c9ec0db9f156fcf8ceef', 'status': 'downloaded'}]"
Aria “Warum betrübst du dich”,J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV516/BWV-516/BWV-516.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV516/BWV-516/BWV-516.mid', 'path': 'ARIA_WARUM_BETRBST_DU_DICH.mid', 'checksum': 'b7da6f24152f6519aba67ea79f0eff3c', 'status': 'downloaded'}]"
Invention 2,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV773/bach-invention-02/bach-invention-02.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV773/bach-invention-02/bach-invention-02.mid', 'path': 'INVENTION_2.mid', 'checksum': '71285666b4de910697d68df7ca626d6c', 'status': 'downloaded'}]"
Invention 6,J. S. Bach (1685–1750),"Harpsichord, Piano",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/BachJS/BWV777/bach-invention-06/bach-invention-06.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV777/bach-invention-06/bach-invention-06.mid', 'path': 'INVENTION_6.mid', 'checksum': '53056369b3964955a5a18936067f6f29', 'status': 'downloaded'}]"
Invention 8,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV779/bach-invention-08/bach-invention-08.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV779/bach-invention-08/bach-invention-08.mid', 'path': 'INVENTION_8.mid', 'checksum': '4b58993d4ff48b306972ab5f140fdc82', 'status': 'downloaded'}]"
Invention 7,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV778/bach-invention-07/bach-invention-07.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV778/bach-invention-07/bach-invention-07.mid', 'path': 'INVENTION_7.mid', 'checksum': '732f9a6a2241c5d4b33cd0a0329966a3', 'status': 'downloaded'}]"
Invention 5,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV776/bach-invention-05/bach-invention-05.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV776/bach-invention-05/bach-invention-05.mid', 'path': 'INVENTION_5.mid', 'checksum': '4e6a0c811a3ddf8afd971df624172454', 'status': 'downloaded'}]"
Invention 13,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV784/bach-invention-13/bach-invention-13.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV784/bach-invention-13/bach-invention-13.mid', 'path': 'INVENTION_13.mid', 'checksum': 'b7228e750628f8577ba77962eead656d', 'status': 'downloaded'}]"
Invention 12,J. S. Bach (1685–1750),"Harpsichord, Piano",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/BachJS/BWV783/bach-invention-12/bach-invention-12.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV783/bach-invention-12/bach-invention-12.mid', 'path': 'INVENTION_12.mid', 'checksum': 'd00609b805fc42497881a8e0641a30df', 'status': 'downloaded'}]"
Invention 11,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV782/bach-invention-11/bach-invention-11.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV782/bach-invention-11/bach-invention-11.mid', 'path': 'INVENTION_11.mid', 'checksum': '82764311e1c49214a45b16611518de60', 'status': 'downloaded'}]"
Invention 14,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV785/bach-invention-14/bach-invention-14.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV785/bach-invention-14/bach-invention-14.mid', 'path': 'INVENTION_14.mid', 'checksum': '6d79a4df6171e91cc7ac80c0603fe94f', 'status': 'downloaded'}]"
Invention 9,J. S. Bach (1685–1750),"Harpsichord, Piano",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/BachJS/BWV780/bach-invention-09/bach-invention-09.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV780/bach-invention-09/bach-invention-09.mid', 'path': 'INVENTION_9.mid', 'checksum': '1982a954fc9ecdd3ff64dcc8580fcd93', 'status': 'downloaded'}]"
Polonaise in F major,J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV117a/BWV-117a/BWV-117a.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV117a/BWV-117a/BWV-117a.mid', 'path': 'POLONAISE_IN_F_MAJOR.mid', 'checksum': '26d541f6cd18679100be4f0f4fdf50d3', 'status': 'downloaded'}]"
Invention 10,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV781/bach-invention-10/bach-invention-10.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV781/bach-invention-10/bach-invention-10.mid', 'path': 'INVENTION_10.mid', 'checksum': 'a4443af3f419f7fca0a178ef360078f7', 'status': 'downloaded'}]"
Sinfonia 1,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV787/bwv787/bwv787.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV787/bwv787/bwv787.mid', 'path': 'SINFONIA_1.mid', 'checksum': '2c8ae04e6298bfef4ef3ceedf3f2a031', 'status': 'downloaded'}]"
Sinfonia 4,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV790/bwv790/bwv790.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV790/bwv790/bwv790.mid', 'path': 'SINFONIA_4.mid', 'checksum': 'eeef5972ef638f7398db7537666aa6cf', 'status': 'downloaded'}]"
Invention 15,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV786/bach-invention-15/bach-invention-15.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV786/bach-invention-15/bach-invention-15.mid', 'path': 'INVENTION_15.mid', 'checksum': 'a9028e8694813c696f9dda07c06fd624', 'status': 'downloaded'}]"
Sinfonia 2,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV788/bwv788/bwv788.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV788/bwv788/bwv788.mid', 'path': 'SINFONIA_2.mid', 'checksum': 'df454ce895f6df2cfd81dd4229104d50', 'status': 'downloaded'}]"
Sinfonia 9,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV795/bwv795/bwv795.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV795/bwv795/bwv795.mid', 'path': 'SINFONIA_9.mid', 'checksum': '6f7a4df3159b23a607ccc6c0ff9056d0', 'status': 'downloaded'}]"
Sinfonia 5,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV791/bwv791/bwv791.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV791/bwv791/bwv791.mid', 'path': 'SINFONIA_5.mid', 'checksum': 'ffbf87a4ed3e810358e2e0996779364b', 'status': 'downloaded'}]"
Sinfonia 6,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV792/bwv792/bwv792.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV792/bwv792/bwv792.mid', 'path': 'SINFONIA_6.mid', 'checksum': '7dfca65c9292c6249ed6876278a433c1', 'status': 'downloaded'}]"
